Class1,Class2,Count,emg1,emg2,old_emg1,Old_emg2
Thumb,Flick,3,1.12,1.51,0.64,0.87
Thumb,Flick,4,0.61,1.51,1.12,0.87
Thumb,Flick,5,0.61,0.71,1.12,1.51
Thumb,Flick,6,0.45,0.71,0.61,1.51
Thumb,Flick,7,0.45,0.63,0.61,0.71
Thumb,Flick,8,0.46,0.63,0.45,0.71
Thumb,Flick,9,0.46,0.51,0.45,0.63
Thumb,Flick,10,1.52,0.51,0.46,0.63
Thumb,Flick,1,1.52,2.48,0.46,0.51
Thumb,Flick,2,0.94,2.48,1.52,0.51
Thumb,Flick,3,0.94,1.57,1.52,2.48
Thumb,Flick,4,0.59,1.57,0.94,2.48
Thumb,Flick,5,0.59,0.90,0.94,1.57
Thumb,Flick,6,0.51,0.90,0.59,1.57
Thumb,Flick,7,0.51,0.68,0.59,0.90
Thumb,Flick,8,0.70,0.68,0.51,0.90
Thumb,Flick,9,0.70,1.03,0.51,0.68
Thumb,Flick,10,1.60,1.03,0.70,0.68
Thumb,Flick,1,1.60,2.61,0.70,1.03
Thumb,Flick,2,0.70,2.61,1.60,1.03
Thumb,Flick,3,0.70,1.10,1.60,2.61
Thumb,Flick,4,0.47,1.10,0.70,2.61
Thumb,Flick,5,0.47,0.80,0.70,1.10
Thumb,Flick,6,0.34,0.80,0.47,1.10
Thumb,Flick,7,0.34,0.65,0.47,0.80
Thumb,Flick,8,0.84,0.65,0.34,0.80
Thumb,Flick,9,0.84,1.16,0.34,0.65
Thumb,Flick,10,1.41,1.16,0.84,0.65
Thumb,Flick,1,1.41,2.23,0.84,1.16
Thumb,Flick,2,0.75,2.23,1.41,1.16
Thumb,Flick,3,0.75,1.02,1.41,2.23
Thumb,Flick,4,0.55,1.02,0.75,2.23
Thumb,Flick,5,0.55,0.77,0.75,1.02
Thumb,Flick,6,0.81,0.77,0.55,1.02
Thumb,Flick,7,0.81,1.09,0.55,0.77
Thumb,Flick,8,1.05,1.09,0.81,0.77
Thumb,Flick,9,1.05,1.85,0.81,1.09
Thumb,Flick,10,0.62,1.85,1.05,1.09
Thumb,Flick,1,0.62,0.86,1.05,1.85
Thumb,Flick,2,0.46,0.86,0.62,1.85
Thumb,Flick,3,0.46,0.73,0.62,0.86
Thumb,Flick,4,0.37,0.73,0.46,0.86
Thumb,Flick,5,0.37,0.55,0.46,0.73
Thumb,Flick,6,1.36,0.55,0.37,0.73
Thumb,Flick,7,1.36,2.18,0.37,0.55
Thumb,Flick,8,0.70,2.18,1.36,0.55
Thumb,Flick,9,0.70,0.93,1.36,2.18
Thumb,Flick,10,0.55,0.93,0.70,2.18
Thumb,Flick,1,0.55,0.62,0.70,0.93
Thumb,Flick,2,0.51,0.62,0.55,0.93
Thumb,Flick,3,0.51,0.65,0.55,0.62
Thumb,Flick,4,0.65,0.65,0.51,0.62
Thumb,Flick,5,0.65,0.64,0.51,0.65
Thumb,Flick,6,0.48,0.64,0.65,0.65
Thumb,Flick,7,0.48,0.55,0.65,0.64
Thumb,Flick,8,0.45,0.55,0.48,0.64
Thumb,Flick,9,0.45,0.44,0.48,0.55
Thumb,Flick,10,0.41,0.44,0.45,0.55
Thumb,Flick,1,0.41,0.40,0.45,0.44
Thumb,Flick,2,1.16,0.40,0.41,0.44
Thumb,Flick,3,1.16,1.59,0.41,0.40
Thumb,Flick,4,0.94,1.59,1.16,0.40
Thumb,Flick,5,0.94,1.32,1.16,1.59
Thumb,Flick,6,0.57,1.32,0.94,1.59
Thumb,Flick,7,0.57,0.69,0.94,1.32
Thumb,Flick,8,0.46,0.69,0.57,1.32
Thumb,Flick,9,0.46,0.57,0.57,0.69
Thumb,Flick,10,1.57,0.57,0.46,0.69
Thumb,Flick,1,1.57,2.50,0.46,0.57
Thumb,Flick,2,1.34,2.50,1.57,0.57
Thumb,Flick,3,1.34,1.87,1.57,2.50
Thumb,Flick,4,0.75,1.87,1.34,2.50
Thumb,Flick,5,0.75,0.90,1.34,1.87
Thumb,Flick,6,0.52,0.90,0.75,1.87
Thumb,Flick,7,0.52,0.79,0.75,0.90
Thumb,Flick,8,0.89,0.79,0.52,0.90
Thumb,Flick,9,0.89,1.36,0.52,0.79
Thumb,Flick,10,0.90,1.36,0.89,0.79
Thumb,Flick,1,0.90,1.09,0.89,1.36
Thumb,Flick,2,0.52,1.09,0.90,1.36
Thumb,Flick,3,0.52,0.80,0.90,1.09
Thumb,Flick,4,0.36,0.80,0.52,1.09
Thumb,Flick,5,0.36,0.58,0.52,0.80
